X,Y,full_id,attributio,boundary,health_lev,name,ref,ref_dhis2,alt_name
19.2119590222161,-5.88489634329602,r10712195,Référentiel Géographique Commun (RGC.cd),health,6,Gungu,,GuAIPcinFIj,
21.6973654869414,-4.41582002968737,r10712196,Référentiel Géographique Commun (RGC.cd),health,6,Bulape,,tTRg4cT07K7,
26.2244905245684,2.99046336537719,r10712234,Référentiel Géographique Commun (RGC.cd),health,6,Ganga,,QU7amTjhWlQ,
17.9146710284133,-4.44797403541226,r10712240,Référentiel Géographique Commun (RGC.cd),health,6,Yasa-Bonga,,NxFuYzZy7Bn,
27.0798410792024,-11.228535683781,r10712247,Référentiel Géographique Commun (RGC.cd),health,6,Kapolowe,,bAFJ18IAf2S,
17.1627585512942,-4.10016251952812,r10712315,Référentiel Géographique Commun (RGC.cd),health,6,Kikongo,,DrEgd3k7YFu,
20.54414131117,-5.60372156055079,r10712317,Référentiel Géographique Commun (RGC.cd),health,6,Banga Lubaka,,bNFyJIkjMdY,
26.2460874847712,4.45092414932607,r10712497,Référentiel Géographique Commun (RGC.cd),health,6,Ango,,rLPkZegjzaS,
23.4985304636087,4.17207310353714,r10712619,Référentiel Géographique Commun (RGC.cd),health,6,Bondo,,ebKZ38Ejpb5,
15.2371117983026,-4.35335330381812,r10713790,Référentiel Géographique Commun (RGC.cd),health,6,Binza Ozone,,m5B0okd0KaZ,
15.290495570988,-4.31156373706116,r10713870,Référentiel Géographique Commun (RGC.cd),health,6,Gombe,,L3vMLScAbZ6,
15.3257204488479,-4.31929649297087,r10713958,Référentiel Géographique Commun (RGC.cd),health,6,Barumbu,,uw3SOxNTDP4,
24.0741497500725,3.27376789044235,r10714130,Référentiel Géographique Commun (RGC.cd),health,6,Likati,,wqWNVs3uxpv,
23.3125657595912,-7.84609419288736,r10714205,Référentiel Géographique Commun (RGC.cd),health,6,Wikong,,gMiVopcM4An,
23.0230705975866,4.33785258762025,r10714334,Référentiel Géographique Commun (RGC.cd),health,6,Monga,,jFTjaBOa844,
23.3915490905125,-6.93522141471194,r10714335,Référentiel Géographique Commun (RGC.cd),health,6,Mwene Ditu,,yft32K4WOYZ,
23.4191859552102,-7.01207699987769,r10714406,Référentiel Géographique Commun (RGC.cd),health,6,Makota,,x0EmG1LRyjy,
24.0383881829347,-6.76088783789597,r10714556,Référentiel Géographique Commun (RGC.cd),health,6,Ngandajika,,TQFaajAiBvD,
24.9788698734515,2.83432522863899,r10714740,Référentiel Géographique Commun (RGC.cd),health,6,Buta,,pggZxV6O3iF,
23.5911485147768,2.68032517553326,r10715330,Référentiel Géographique Commun (RGC.cd),health,6,Aketi,,LOm8B3vy1qR,
25.6123310494071,2.8674469141843,r10715349,Référentiel Géographique Commun (RGC.cd),health,6,Titule,,EgtXyZdGsLP,
23.8963995895681,-6.57928629442304,r10715379,Référentiel Géographique Commun (RGC.cd),health,6,Mulumba,,Ca5EitY4zzl,
24.4891021125214,4.24804129284565,r10715430,Référentiel Géographique Commun (RGC.cd),health,6,Bili,,CO06cO2i4Nm,
26.8879125080414,2.98383950556214,r10715713,Référentiel Géographique Commun (RGC.cd),health,6,Poko,,iqV2dwy0B1b,
27.5556524976455,3.29711598835942,r10715766,Référentiel Géographique Commun (RGC.cd),health,6,Viadana,,joxrJQ6anPt,
25.9605274413173,-2.9516313232979,r10715903,Référentiel Géographique Commun (RGC.cd),health,6,Alunguli,,w1BnPOcmluI,
25.8995217877044,-2.95443618265898,r10715904,Référentiel Géographique Commun (RGC.cd),health,6,Kindu,,lbUq2j3aRYh,
25.7498431994653,-2.55990526196828,r10716215,Référentiel Géographique Commun (RGC.cd),health,6,Kailo,,ZHRREbCOGwG,
23.2398380749685,-6.70687527989916,r10716397,Référentiel Géographique Commun (RGC.cd),health,6,Kamiji,,rg471npPLBo,
26.6508234549794,-6.97875996686471,r10717067,Référentiel Géographique Commun (RGC.cd),health,6,Ankoro,,dihBljVQG6z,
26.9768286965056,-6.1666077978192,r10717165,Référentiel Géographique Commun (RGC.cd),health,6,Kabalo,,QmaankDWQSm,
20.4573919954237,-6.08359267026667,r10717294,Référentiel Géographique Commun (RGC.cd),health,6,Nyanga,,ilgYm3DfbGP,
26.5879885292461,-5.39595482075385,r10717334,Référentiel Géographique Commun (RGC.cd),health,6,Kongolo,,rDRhOPd3q1u,
21.631434829468,-5.01276666223952,r10717391,Référentiel Géographique Commun (RGC.cd),health,6,Mweka,,dw1XnGf2aaU,
21.3438394816197,-6.95099628908121,r10717551,Référentiel Géographique Commun (RGC.cd),health,6,Mutena,,g0UqlSRyINa,
15.2807237412632,-4.34619499908261,r10717570,Référentiel Géographique Commun (RGC.cd),health,6,Bandalungwa,,BjbUZ5acV7t,
20.540541271116,-6.63992693905557,r10717661,Référentiel Géographique Commun (RGC.cd),health,6,Tshikapa,,rsaI3zncNG9,
21.5964926368978,-5.59733740647268,r10717735,Référentiel Géographique Commun (RGC.cd),health,6,Luebo,,d9la4YKNnto,
28.8712040322837,-6.34704040711124,r10717763,Référentiel Géographique Commun (RGC.cd),health,6,Kalemie,,kH7KijWY3eF,
29.1836264279573,-7.29383017243548,r10717977,Référentiel Géographique Commun (RGC.cd),health,6,Kansimba,,dj29qACRqOf,
15.3760270098446,-4.38043624253459,r10718090,Référentiel Géographique Commun (RGC.cd),health,6,Masina I,,F0zQH8NbaIx,
29.0719822822764,-2.06011157859911,r10718672,Référentiel Géographique Commun (RGC.cd),health,6,Idjwi,,Bxi65HPz420,
15.247662916578,-4.40093269519839,r10718839,Référentiel Géographique Commun (RGC.cd),health,6,Binza Meteo,,ShcGSNMpF7z,
15.2934418030169,-4.37259089501694,r10718886,Référentiel Géographique Commun (RGC.cd),health,6,Bumbu,,sZ2goXLKmQX,
15.3013482602151,-4.32557137302145,r10718914,Référentiel Géographique Commun (RGC.cd),health,6,Lingwala,,qbe5m6fVfMT,
15.3129636500021,-4.35159050223831,r10718953,Référentiel Géographique Commun (RGC.cd),health,6,Kalamu I,,D1jF9OzETge,
28.1369456927083,-7.44828038685932,r10719126,Référentiel Géographique Commun (RGC.cd),health,6,Kiambi,,pCawLGK8jaD,
27.3112662126471,-7.19496702851824,r10719140,Référentiel Géographique Commun (RGC.cd),health,6,Manono,,oU2G5jtXxFx,
27.7052491218044,-5.8413201204427,r10719222,Référentiel Géographique Commun (RGC.cd),health,6,Nyunzu,,uz41FkMd6Gb,
28.8926992834435,-5.47572250869278,r10719289,Référentiel Géographique Commun (RGC.cd),health,6,Nyemba,,SpDmHrCCVal,
20.9099630047171,4.25798535663322,r10719351,Référentiel Géographique Commun (RGC.cd),health,6,Gbadolite,,lIWxyiAegfN,
21.4404941761635,4.12568865644581,r10719378,Référentiel Géographique Commun (RGC.cd),health,6,Mobayi Mbongo,,e3onjTOWxjS,
19.5938340240853,4.40207265,r10719447,Référentiel Géographique Commun (RGC.cd),health,6,Bosobolo,,HT0MyE7KoXx,
20.00930185,4.74360934626375,r10719515,Référentiel Géographique Commun (RGC.cd),health,6,Bili,,aU2jY9HAg9u,
22.2724742480766,4.03107011104393,r10719539,Référentiel Géographique Commun (RGC.cd),health,6,Yakoma,,Bou7OgEKEp1,
22.0765636718411,3.75001578447683,r10719561,Référentiel Géographique Commun (RGC.cd),health,6,Wasolo,,PzrqwW6m5Wz,
22.9186884583326,3.70689401924042,r10719596,Référentiel Géographique Commun (RGC.cd),health,6,Wapinda,,CSvyaLZJiEt,
22.2659615814753,3.30695290366855,r10719623,Référentiel Géographique Commun (RGC.cd),health,6,Abuzi,,a4pMwNr59bj,
21.4377465117646,3.21781397868972,r10719670,Référentiel Géographique Commun (RGC.cd),health,6,Businga,,R9J0n0C1U0s,
21.1875424792338,3.75574730035186,r10719687,Référentiel Géographique Commun (RGC.cd),health,6,Loko,,ARnHjae4l5S,
20.4681357799274,3.2817718813621,r10719731,Référentiel Géographique Commun (RGC.cd),health,6,Karawa,,N3EOJsjCXzW,
22.8384523558689,-3.73068131735386,r10720215,Référentiel Géographique Commun (RGC.cd),health,6,Bena Dibele,,Qx49Xk4whc5,
20.5897316651933,-4.95443720222541,r10720426,Référentiel Géographique Commun (RGC.cd),health,6,Mikope,,vy2yqOs0J70,
15.4053797617347,-4.44403341085798,r10720731,Référentiel Géographique Commun (RGC.cd),health,6,Biyela,,QzpHCAKe31e,
20.064639565238,-6.49153148947169,r10720757,Référentiel Géographique Commun (RGC.cd),health,6,Kitangwa,,IDFKkakVBRc,
21.3664575663324,-3.2344665313344,r10721079,Référentiel Géographique Commun (RGC.cd),health,6,Dekese,,Z3lr3MOHNLH,
23.5989304172978,-6.10150282152999,r10721218,Référentiel Géographique Commun (RGC.cd),health,6,Diulu,,f1b3q0aLFzW,
15.4035036026558,-4.38782153196546,r10721233,Référentiel Géographique Commun (RGC.cd),health,6,Masina II,,hL8oJfWHx3g,
15.4334227440373,-4.43901428658448,r10721872,Référentiel Géographique Commun (RGC.cd),health,6,Kikimi,,wTaqhPcijDM,
15.5655143331275,-4.39593333974232,r10721938,Référentiel Géographique Commun (RGC.cd),health,6,Nsele,,m0D9iUAjJ1G,
23.5119408715785,-6.20162875022612,r10721977,Référentiel Géographique Commun (RGC.cd),health,6,Tshishimbi,,PuF5BL8Npna,
15.2702507979052,-4.53837259603936,r10722043,Référentiel Géographique Commun (RGC.cd),health,6,Mont Ngafula I,,ubl3NORPhsC,
15.1892860755429,-4.42300308541001,r10722111,Référentiel Géographique Commun (RGC.cd),health,6,Mont Ngafula II,,gMhYDNcoZSe,
15.3753798617204,-4.40671809396153,r10722139,Référentiel Géographique Commun (RGC.cd),health,6,Ndjili,,rK2ODHilbAP,
